,POLARITY,TWEET_ID
72,POSITIVE,1339337066610614274
73,NEGATIVE,1272366604643377154
74,NEUTRAL,1385960731691012099
75,NEGATIVE,1332928082328621063
76,NEGATIVE,1256396607102373888
77,POSITIVE,1263169360870416388
78,NEGATIVE,1245219428633055232
79,NEGATIVE,1265132181061500928
80,NEUTRAL,1383413522286080010
81,NEUTRAL,1426557330603352065
82,NEUTRAL,1272632771375054848
83,POSITIVE,1283926252492029952
84,NEGATIVE,1337635641954160643
85,NEUTRAL,1252717394969063424
86,POSITIVE,1328464692931682309
87,NEUTRAL,1285595074689032192
88,NEUTRAL,1249485378723237892
89,NEGATIVE,1245184545734918145
90,NEUTRAL,1284331653121310721
91,NEUTRAL,1328748002597539840
92,NEGATIVE,1442880273398566920
93,NEUTRAL,1251937504602787841
94,NEGATIVE,1288817516039540736
95,POSITIVE,1296447043255382017
96,NEGATIVE,1304096654921011204
97,POSITIVE,1405183753077600262
98,NEGATIVE,1263893242623528961
99,NEGATIVE,1247605367615324161
100,NEGATIVE,1249472711371321344
101,NEGATIVE,1347312783415783424
102,POSITIVE,1435429690433576961
103,NEUTRAL,1443723214748897285
104,NEUTRAL,1300294843525144576
105,NEGATIVE,1355701594986336256
106,NEUTRAL,1345793971864403970
107,NEUTRAL,1418580550785376262
108,NEUTRAL,1263947799529308160
109,NEUTRAL,1322369049922203648
110,NEUTRAL,1253484090763984902
111,POSITIVE,1433941801979711499
112,NEGATIVE,1289198749760200706
113,NEUTRAL,1342296052238577664
114,NEUTRAL,1332888608215363586
115,NEGATIVE,1305200318507085825
116,NEUTRAL,1268370216121237504
117,POSITIVE,1336402658429706240
118,NEGATIVE,1271598319362551809
119,NEGATIVE,1337597829963890690
120,NEGATIVE,1396974334099353603
121,NEGATIVE,1424716374803423233
122,NEGATIVE,1447715691029696512
123,NEUTRAL,1354580467480199172
124,POSITIVE,1259548852303982592
125,NEUTRAL,1287582942395396096
126,POSITIVE,1263354261364039680
127,NEGATIVE,1414077796192817152
128,NEGATIVE,1382089966302416900
129,POSITIVE,1449947635054305280
130,POSITIVE,1300176873591312384
131,NEUTRAL,1391235127808692230
132,NEGATIVE,1347646983645892609
133,NEUTRAL,1263877838832234496
134,POSITIVE,1259539048617480192
135,NEGATIVE,1353825659655581696
136,NEUTRAL,1346109960153915392
137,NEUTRAL,1351618918629175296
138,NEGATIVE,1266078824997040128
139,NEUTRAL,1268350970892742656
140,NEUTRAL,1287010009579171841
141,NEGATIVE,1338709623428308993
142,NEGATIVE,1272918138007494656
143,NEUTRAL,1350285821820227590
144,NEUTRAL,1275535037165965314
145,POSITIVE,1302615634803666952
146,NEUTRAL,1254160715583238146
147,NEUTRAL,1350250566971236356
148,NEGATIVE,1374876828138098690
149,NEGATIVE,1351984224409157633
150,POSITIVE,1309893923158896640
151,NEUTRAL,1249672711296647170
152,NEUTRAL,1442945835059187714
153,NEGATIVE,1251188492815806464
154,NEUTRAL,1436011730878930983
155,NEUTRAL,1346891603479293952
156,POSITIVE,1351201613743083520
157,POSITIVE,1278437796819152897
158,NEGATIVE,1309492599107985408
159,NEGATIVE,1351665087338209280
160,NEUTRAL,1310008999870427137
161,NEUTRAL,1266863564909879296
162,POSITIVE,1252634893848281092
163,NEGATIVE,1351341113794244609
164,NEUTRAL,1263587404268503042
165,NEUTRAL,1291507597820989440
166,NEUTRAL,1307997663225282560
167,NEGATIVE,1322547932244054016
168,NEGATIVE,1247381118145396742
169,NEUTRAL,1251522118803755015
170,NEUTRAL,1249872106302500870
171,POSITIVE,1327470848647831557
172,NEGATIVE,1379883086188515339
173,POSITIVE,1366640035748012034
174,NEGATIVE,1245861884537876480
175,POSITIVE,1343598899110408192
176,NEUTRAL,1446338701483724831
177,NEGATIVE,1348882782269788161
178,NEGATIVE,1291956230802608128
179,NEGATIVE,1294338129009078272
180,NEGATIVE,1251713386544594945
181,NEGATIVE,1352740079010275328
182,NEGATIVE,1325252057071235073
183,NEGATIVE,1277032549945094145
184,NEUTRAL,1311151416485048325
185,NEGATIVE,1258757006342721537
186,NEUTRAL,1247522390969421831
187,NEUTRAL,1294049125059530753
188,NEUTRAL,1361147719834771456
189,POSITIVE,1379131038148988932
190,NEGATIVE,1253493993213767684
191,NEUTRAL,1378731948298878983
192,NEGATIVE,1250062610948595712
193,NEGATIVE,1453214310080077825
194,POSITIVE,1282485427878928384
195,NEUTRAL,1261676126918844417
196,NEUTRAL,1301888366737338369
197,NEUTRAL,1249435584285888515
198,POSITIVE,1271211602285662214
199,POSITIVE,1446996526979588101
200,NEUTRAL,1275740744465240066
201,POSITIVE,1263308083431956480
202,NEGATIVE,1340076554001522697
203,NEGATIVE,1283956091475329026
204,NEUTRAL,1402642783211565076
205,NEUTRAL,1297643970105872384
206,POSITIVE,1280172303268093952
207,NEUTRAL,1435299097091715075
208,NEUTRAL,1253731380485222400
209,NEUTRAL,1289689478362271744
210,POSITIVE,1332022971314151424
211,POSITIVE,1274723385377992705
212,POSITIVE,1414296479460696065
213,POSITIVE,1273457731501002752
214,NEGATIVE,1365695626009313284
215,NEUTRAL,1246094888950796293
216,POSITIVE,1353299511960068096
217,NEGATIVE,1320550915104002057
218,NEGATIVE,1279065997207638017
219,NEGATIVE,1272428257137303552
220,NEUTRAL,1289345421848977409
221,NEUTRAL,1452343428700803073
222,NEGATIVE,1432491671850192898
223,POSITIVE,1388905120549810186
224,POSITIVE,1348999757927227393
225,NEGATIVE,1447008384478236674
226,NEGATIVE,1332052556873420804
227,NEUTRAL,1282075331483045889
228,POSITIVE,1283783234040537094
229,POSITIVE,1251963058081103874
230,NEUTRAL,1250479816081575937
231,NEUTRAL,1281642165479907330
232,POSITIVE,1412950582923567105
233,POSITIVE,1253013417578782721
234,POSITIVE,1393730806829420546
235,POSITIVE,1340347182730399745
236,NEUTRAL,1263210326415163392
237,NEGATIVE,1346190675633692672
238,POSITIVE,1248372091763576832
239,POSITIVE,1424086225137377283
240,NEGATIVE,1270762879550025729
241,POSITIVE,1270342480958042112
242,NEGATIVE,1268710997763788802
243,POSITIVE,1351382607372533760
244,NEGATIVE,1267117017997479936
245,NEGATIVE,1428509503801151495
246,NEUTRAL,1343329077059493888
247,NEGATIVE,1263900347619213314
248,NEUTRAL,1413352214257717248
249,NEGATIVE,1257104019127971840
250,NEGATIVE,1314007699072389120
251,NEUTRAL,1258154854616305665
252,NEUTRAL,1401553842215571466
253,NEGATIVE,1265336997784154113
254,POSITIVE,1252268158292946944
255,NEGATIVE,1296699891855568896
256,POSITIVE,1293943262613364737
257,POSITIVE,1327614519036817409
258,NEUTRAL,1275407247707795456
259,NEGATIVE,1337832854584233985
260,NEGATIVE,1359333303069909001
261,NEGATIVE,1282403086796042242
262,NEGATIVE,1411041078430535684
263,NEGATIVE,1288331755594940416
264,NEUTRAL,1331265457219727360
265,POSITIVE,1260694604262842369
266,POSITIVE,1377344497235861506
267,NEGATIVE,1274170077818916866
268,NEGATIVE,1246777572639326208
269,NEUTRAL,1338600513751773185
270,NEGATIVE,1346547425234698240
271,NEUTRAL,1247419144699555842
272,NEGATIVE,1421607252784418817
273,NEUTRAL,1323630520253763584
274,NEUTRAL,1250222442687102979
275,NEUTRAL,1363717067782955014
276,POSITIVE,1376622998443094019
277,NEGATIVE,1254886898750967811
278,NEGATIVE,1254061520570519555
279,NEUTRAL,1279825570449231873
280,NEUTRAL,1245139187915010049
281,NEUTRAL,1350925223923597314
282,NEGATIVE,1422350013615677465
283,NEUTRAL,1300784034306502656
284,NEUTRAL,1374731853702307840
285,NEGATIVE,1461242484944683009
286,POSITIVE,1363180570948247560
287,NEUTRAL,1279842802399141890
288,NEUTRAL,1359343546684350464
289,POSITIVE,1270837806852501505
290,NEUTRAL,1266407878111436800
291,NEUTRAL,1264307857157218304
292,NEUTRAL,1251555991293792256
293,NEGATIVE,1274466115993743362
294,NEUTRAL,1340121179407986689
295,NEGATIVE,1283533371914760194
296,NEGATIVE,1317624662696878081
297,NEUTRAL,1265332363757838337
298,NEUTRAL,1254638903849562112
299,POSITIVE,1434864641830637571
300,NEGATIVE,1288624299075497984
301,NEGATIVE,1264552562277191686
302,NEGATIVE,1321512912293384194
303,NEUTRAL,1288651187558821888
304,NEUTRAL,1287927542234505216
305,NEGATIVE,1416251472883425280
306,POSITIVE,1282886383057674252
307,NEUTRAL,1261054019876904962
308,POSITIVE,1248471132602171394
309,POSITIVE,1393177759996948484
310,NEUTRAL,1248116476114079744
311,NEUTRAL,1339449935557746688
312,POSITIVE,1423794991223255041
313,NEGATIVE,1246645926816612352
314,NEGATIVE,1284116490090803200
315,NEGATIVE,1275533322773553153
316,NEGATIVE,1255288024310702081
317,POSITIVE,1250873914923900930
318,NEGATIVE,1252417691874234368
319,POSITIVE,1264453212649730050
320,POSITIVE,1355605787666755585
321,NEGATIVE,1362827370470776837
322,NEGATIVE,1352014116223795200
323,NEGATIVE,1345965924923404288
324,NEUTRAL,1338667369451958272
325,NEGATIVE,1247767401925492742
326,POSITIVE,1404782924306825216
327,NEGATIVE,1361139347257495555
328,NEUTRAL,1293189257121501186
329,NEUTRAL,1256757190926442498
330,NEGATIVE,1415440646345723908
331,NEUTRAL,1301215368925642752
332,NEGATIVE,1247021626320969733
333,NEGATIVE,1286816979098038273
334,NEUTRAL,1253337279965216772
335,NEUTRAL,1459581398084370442
336,POSITIVE,1255224867265404941
337,POSITIVE,1448312760702574593
338,NEUTRAL,1250240512000319488
339,NEUTRAL,1266047797528231936
340,NEGATIVE,1340420098914455552
341,NEUTRAL,1382028296867749893
342,NEUTRAL,1354092952356745218
343,NEUTRAL,1277315938363244545
344,NEGATIVE,1250184360319496199
345,NEGATIVE,1249902701514801153
346,NEGATIVE,1250463096738582529
347,POSITIVE,1247908335833223169
348,NEGATIVE,1379440951584776200
349,NEGATIVE,1257061250900439042
350,POSITIVE,1464197307260452878
351,NEGATIVE,1328064956978302981
352,NEGATIVE,1329848271821565952
353,POSITIVE,1303304905629872130
354,NEUTRAL,1374719582229819396
355,POSITIVE,1335745729948684290
356,NEGATIVE,1271989476433133568
357,POSITIVE,1430349660540055552
358,POSITIVE,1333529226385846272
359,NEUTRAL,1418695481794957321
360,NEGATIVE,1397661199253258242
361,POSITIVE,1429327723877523459
362,NEUTRAL,1320781885652520961
363,NEGATIVE,1258777961702068225
364,POSITIVE,1360975339753668612
365,NEGATIVE,1252850162944229381
366,NEUTRAL,1293320622681006092
367,NEUTRAL,1256981913727725568
368,NEGATIVE,1274909993536389120
369,POSITIVE,1260234184536326144
370,NEUTRAL,1347760020558139394
371,NEUTRAL,1260483069192126472
372,NEGATIVE,1354270211474526208
373,NEGATIVE,1247012855821602817
374,POSITIVE,1365026028876349446
375,NEUTRAL,1277418543752065024
376,NEUTRAL,1340885118328647680
377,NEUTRAL,1252636823223824384
378,NEUTRAL,1245060589740634112
379,NEGATIVE,1312353234808233984
380,NEGATIVE,1269766280262762496
381,NEUTRAL,1408443521724522496
382,NEGATIVE,1280242108461449217
383,NEGATIVE,1356374276262211586
384,NEUTRAL,1258373588802957312
385,NEUTRAL,1317242471781457924
386,NEUTRAL,1265325229863251970
387,POSITIVE,1381821351254585345
388,NEUTRAL,1333989010130292736
389,POSITIVE,1247189265861271553
390,NEGATIVE,1367334892242141190
391,NEUTRAL,1352625855999209475
392,POSITIVE,1262440753764204544
393,NEGATIVE,1400007383443771395
394,NEUTRAL,1341895594160361478
395,POSITIVE,1458467976340934661
396,NEUTRAL,1353510207008157696
397,NEUTRAL,1271130207215378433
398,NEGATIVE,1407425572238774276
399,NEGATIVE,1277096817793159169
400,POSITIVE,1245369479737020417
401,NEGATIVE,1250639771828920321
402,NEGATIVE,1317671206741594112
403,POSITIVE,1284653052998254592
404,NEGATIVE,1421110064929288195
405,POSITIVE,1278087887381131265
406,NEGATIVE,1248371074707812358
407,NEUTRAL,1282010977408614401
408,POSITIVE,1349130183245234176
409,NEUTRAL,1408806957922799621
410,NEGATIVE,1246555855845113856
411,POSITIVE,1394791035075796992
412,NEGATIVE,1271678480040804352
413,NEGATIVE,1305350449470603270
414,POSITIVE,1422234736269930499
415,NEGATIVE,1285796671511826432
416,NEGATIVE,1258557774419513344
417,NEUTRAL,1288878837921652743
418,POSITIVE,1255273646219767810
419,NEGATIVE,1342875862597820419
420,NEGATIVE,1249173166171344896
421,NEUTRAL,1268700577074200578
422,NEUTRAL,1278552600581943296
423,NEUTRAL,1303456391051513859
424,NEGATIVE,1427355287871266822
425,POSITIVE,1260634669466304512
426,NEGATIVE,1334997369553825794
427,POSITIVE,1420789383674830850
428,NEGATIVE,1466174713084870656
429,POSITIVE,1264986471158538241
430,POSITIVE,1269427264707387394
431,POSITIVE,1246993993126350848
432,NEGATIVE,1328404040653410308
433,NEUTRAL,1387627024848728066
434,POSITIVE,1245933299874164737
435,NEGATIVE,1305043445132656640
436,NEUTRAL,1413992191186325505
437,NEGATIVE,1271228321762701313
438,NEUTRAL,1248067527340707846
439,NEGATIVE,1354315677276975105
440,NEUTRAL,1374808566792650752
441,POSITIVE,1311001749730332674
442,POSITIVE,1349386803241914369
443,NEGATIVE,1294371852488384512
444,NEGATIVE,1385817231930527753
445,POSITIVE,1246877567111569414
446,NEGATIVE,1449960622439948289
447,NEUTRAL,1335778123208675329
448,NEUTRAL,1257661316426276864
449,NEUTRAL,1333608476652802048
450,NEUTRAL,1288289714189905922
451,NEUTRAL,1250814846066741249
452,NEUTRAL,1345522157330157569
453,NEGATIVE,1246302282406408192
454,NEGATIVE,1259245351535431681
455,NEUTRAL,1355982273510846464
456,NEUTRAL,1420772401596534789
457,POSITIVE,1270438113710612480
458,NEUTRAL,1347223074505175041
459,NEUTRAL,1333362183741313024
460,NEGATIVE,1308126007912587265
461,NEUTRAL,1246832948902391809
462,NEUTRAL,1361166349012197378
463,NEUTRAL,1416406492450861065
464,NEGATIVE,1266135974867681280
465,NEGATIVE,1259887266375204867
466,NEUTRAL,1261007903890083841
467,NEUTRAL,1294143510497488896
468,NEGATIVE,1311333893883203591
469,NEUTRAL,1270758555885305856
470,NEGATIVE,1421469420141137925
471,POSITIVE,1333158088183058432
472,NEUTRAL,1248925020644130822
473,NEUTRAL,1263451635302518786
474,NEGATIVE,1316344223000657920
475,NEUTRAL,1270865886484721665
476,NEGATIVE,1397550431434313732
477,NEUTRAL,1293647364104900609
478,NEUTRAL,1256333957341212673
479,NEGATIVE,1285735307195879430
480,POSITIVE,1249857829269315585
481,POSITIVE,1263433961868414976
482,NEUTRAL,1263249103473033216
483,POSITIVE,1249189171626983427
484,POSITIVE,1283178568240050176
485,NEGATIVE,1282507635884007431
486,POSITIVE,1259678975393226758
487,POSITIVE,1246908474296086529
488,NEUTRAL,1287428456402255872
489,NEUTRAL,1386018882029301760
490,POSITIVE,1388160216928186371
491,NEUTRAL,1359384416485658624
492,POSITIVE,1261048940268367873
493,NEGATIVE,1321320210557624320
494,NEGATIVE,1252303148083011584
495,NEGATIVE,1426680765539028992
496,NEUTRAL,1283080363724746753
497,POSITIVE,1330693319630917632
498,POSITIVE,1449405482939072515
499,POSITIVE,1451375911480307716
500,POSITIVE,1251768307293847552
501,NEGATIVE,1428380455913541635
502,POSITIVE,1380266100991127555
503,NEGATIVE,1462201797855137793
504,NEUTRAL,1266838150606983170
505,NEUTRAL,1266512873427255298
506,POSITIVE,1379622276191154177
507,NEUTRAL,1346829064989007879
508,NEGATIVE,1276170257762222080
509,POSITIVE,1376426936054988800
510,POSITIVE,1255335536044249088
511,NEUTRAL,1254482798951321600
512,NEUTRAL,1295431165826838528
513,NEGATIVE,1329620070775996416
514,POSITIVE,1357728308314730500
515,NEGATIVE,1252642023556907011
516,NEUTRAL,1248346289487544320
517,NEUTRAL,1349133530291265537
518,NEUTRAL,1272582620929384449
519,POSITIVE,1391264270369832960
520,NEGATIVE,1257783685719355392
521,NEUTRAL,1260297424494448640
522,NEGATIVE,1270919679608074242
523,NEGATIVE,1249533309580988417
524,NEGATIVE,1322023042298507265
525,NEUTRAL,1354490252438732800
526,NEGATIVE,1264683930801909760
527,POSITIVE,1253446940437745664
528,NEGATIVE,1393419147653046273
529,NEGATIVE,1442611790056202241
530,NEUTRAL,1416405330381230083
531,NEUTRAL,1245208604661055490
532,NEGATIVE,1264803070040555520
533,NEUTRAL,1341212114531348481
534,POSITIVE,1422310516043751429
535,NEGATIVE,1280516810568327172
536,POSITIVE,1337626596417605632
537,NEUTRAL,1412778242818330624
538,NEUTRAL,1359221003176407040
539,NEUTRAL,1392553579437772802
540,NEUTRAL,1259138433852686336
541,NEUTRAL,1308063303675965442
542,NEGATIVE,1396510831567900676
543,NEUTRAL,1247200480125751296
544,POSITIVE,1426245186267516929
545,POSITIVE,1250848872378757120
546,NEGATIVE,1257443006896095237
547,NEGATIVE,1252631831696080897
548,POSITIVE,1354984413650702342
549,NEGATIVE,1260251286710243328
550,NEUTRAL,1355892661518012418
551,POSITIVE,1293645548906516485
552,POSITIVE,1257690105109778432
553,NEUTRAL,1424932114948968450
554,NEUTRAL,1359320092136378372
555,NEUTRAL,1265876521865994240
556,POSITIVE,1288189112814632961
557,NEGATIVE,1348905949206110208
558,NEUTRAL,1342882043106127873
559,NEGATIVE,1258914180494700552
560,NEUTRAL,1296497999556665344
561,POSITIVE,1390049371731922947
562,POSITIVE,1255432981507866624
563,NEGATIVE,1255874852654690304
564,POSITIVE,1387264704205266944
565,POSITIVE,1274123325292244993
566,NEUTRAL,1369505203393855491
567,NEUTRAL,1280626652368773122
568,NEGATIVE,1288575776380444672
569,POSITIVE,1254889196118061056
570,POSITIVE,1259647031800467456
571,NEUTRAL,1251500215389040646
572,NEGATIVE,1350887920530558983
573,NEGATIVE,1394383204807741446
574,NEUTRAL,1336850361647132675
575,NEUTRAL,1272245522401603584
576,NEGATIVE,1285796295622496256
577,NEGATIVE,1248401947297636353
578,NEGATIVE,1249056030744440832
579,NEUTRAL,1376721838731055109
580,NEUTRAL,1311925281058361348
581,NEUTRAL,1400158059020701697
582,NEUTRAL,1378781336475992066
583,POSITIVE,1390102718774140929
584,NEUTRAL,1333670409603080193
585,NEGATIVE,1258519520588689409
586,NEUTRAL,1315139441485324288
587,NEGATIVE,1354210175876542468
588,NEUTRAL,1315795800547561475
589,NEUTRAL,1375914350364532743
590,NEUTRAL,1257314363695755264
591,NEUTRAL,1253168216668549132
592,NEGATIVE,1331271543066816512
593,NEGATIVE,1266130959616708608
594,POSITIVE,1363527036128616451
595,NEUTRAL,1336409959668609025
596,NEUTRAL,1287854394734710784
597,NEGATIVE,1280548065749983233
598,NEUTRAL,1346871323583197184
599,NEGATIVE,1245763879445069825
600,POSITIVE,1249556016607485952
601,NEUTRAL,1407337211947892748
602,NEGATIVE,1396900619546411010
603,POSITIVE,1319819300782272512
604,POSITIVE,1262980291276279809
605,NEUTRAL,1374926069514522624
606,POSITIVE,1400976812059017219
607,NEUTRAL,1312108740368236544
608,NEUTRAL,1259550975255351296
609,NEUTRAL,1441553477285470209
610,POSITIVE,1450446311317250048
611,NEUTRAL,1398493828873601025
612,NEGATIVE,1288497562950012928
613,NEUTRAL,1278009273734184960
614,NEUTRAL,1295915222151188482
615,NEUTRAL,1398345894832087046
616,NEUTRAL,1318263564466049025
617,NEGATIVE,1352709460754649088
618,NEGATIVE,1348698774764310529
619,NEUTRAL,1283148667491438594
620,NEGATIVE,1388539135275720705
621,NEUTRAL,1245541146689822720
622,NEUTRAL,1363184722336047109
623,POSITIVE,1364931718550081539
624,NEGATIVE,1264237086468640769
625,POSITIVE,1271790522601033728
626,NEGATIVE,1256700502315864071
627,NEGATIVE,1348759062943584256
628,NEUTRAL,1334908618009939968
629,NEUTRAL,1249274326752190466
630,POSITIVE,1350186349022900225
631,POSITIVE,1382531391846375428
632,NEGATIVE,1439237009910943752
633,NEUTRAL,1255176439361531904
634,POSITIVE,1448478951051984898
635,NEGATIVE,1248796069502291971
636,NEUTRAL,1259853077181534208
637,NEGATIVE,1355546770198188040
638,NEUTRAL,1336310703104413708
639,NEUTRAL,1331411750420361216
640,POSITIVE,1412610775294808070
641,NEUTRAL,1254534293591928834
642,POSITIVE,1248695198491820032
643,NEUTRAL,1262412603122475011
644,NEGATIVE,1253898797530439681
645,NEUTRAL,1298713989455609857
646,NEGATIVE,1275944431393398792
647,NEGATIVE,1271874665884127232
648,NEGATIVE,1292098910123483137
649,NEUTRAL,1245574613288890371
650,POSITIVE,1313532184897236993
651,NEGATIVE,1308930422605254656
652,POSITIVE,1276188230463950850
653,POSITIVE,1337593944633446403
654,POSITIVE,1354247338198528005
655,POSITIVE,1442902638324977667
656,NEGATIVE,1250809276576280576
657,POSITIVE,1254552484196110337
658,NEGATIVE,1304900776251269120
659,NEUTRAL,1256838464248647680
660,NEGATIVE,1246298596925779969
661,NEGATIVE,1338708782868615169
662,NEUTRAL,1311653150458249219
663,NEGATIVE,1274070604639989760
664,NEGATIVE,1302063729400377346
665,NEGATIVE,1448681098184060936
666,NEGATIVE,1289648382680551425
667,NEGATIVE,1273982201298685952
668,NEGATIVE,1247581777134333952
669,NEUTRAL,1249159348326187015
670,NEGATIVE,1340561902464761856
671,NEGATIVE,1397007582305394699
672,NEGATIVE,1245511030936973314
673,POSITIVE,1246537226302840833
674,NEUTRAL,1278748201391185921
675,NEGATIVE,1273299069016948742
676,NEUTRAL,1279431467454644228
677,NEUTRAL,1251022930626019329
678,POSITIVE,1288928018690387974
679,NEUTRAL,1282686640432054273
680,NEGATIVE,1453527181104140292
681,NEUTRAL,1255722386424426496
682,POSITIVE,1285614764639563778
683,NEGATIVE,1287872797243449344
684,NEUTRAL,1422711529271611398
685,POSITIVE,1266085834735878144
686,NEUTRAL,1262449935682658307
687,POSITIVE,1318572777423708160
688,NEUTRAL,1356974290084769796
689,NEUTRAL,1353409306184593409
690,POSITIVE,1287987298118897665
691,NEUTRAL,1302765243689439233
692,POSITIVE,1261269251534589952
693,NEGATIVE,1320442616639594497
694,NEGATIVE,1336334808339734532
695,NEGATIVE,1287719561320513536
696,NEGATIVE,1267206397021900801
697,NEGATIVE,1350833644106088450
698,POSITIVE,1357365657554272260
699,POSITIVE,1445481562741510144
700,POSITIVE,1375632039102283776
701,POSITIVE,1282796639451783169
702,POSITIVE,1249066689725161473
703,NEUTRAL,1249471316736032769
704,NEUTRAL,1247911480156012545
705,POSITIVE,1261322510387359745
706,NEGATIVE,1366071743505432576
707,POSITIVE,1252301338366537731
708,NEGATIVE,1342499655641399297
709,NEUTRAL,1418935303994290193
710,POSITIVE,1315312338166321153
711,POSITIVE,1253867309934018560
712,NEUTRAL,1254782644044181505
713,POSITIVE,1379823870287355904
714,POSITIVE,1256363283616940032
715,NEUTRAL,1357902897992896513
716,NEGATIVE,1456276513959997450
717,POSITIVE,1335659993203347456
718,NEGATIVE,1349779702026788865
719,NEGATIVE,1306630891834404865
720,NEGATIVE,1435306099691954178
721,NEGATIVE,1249489875373568007
722,POSITIVE,1257864593952522240
723,NEUTRAL,1415496754787717122
724,NEUTRAL,1262885954492280832
725,NEUTRAL,1262177375565099008
726,POSITIVE,1322189904265302025
727,NEUTRAL,1256037225982242823
728,NEUTRAL,1256993628997718018
729,NEUTRAL,1387033905954447360
730,POSITIVE,1331397252850593793
731,NEUTRAL,1329762448254128129
732,NEUTRAL,1263849344236650497
733,POSITIVE,1287951040617295875
734,NEGATIVE,1265412199696273415
735,POSITIVE,1433482785323294745
736,NEUTRAL,1268935324119547907
737,POSITIVE,1261461925516341248
738,POSITIVE,1268319077698682880
739,NEUTRAL,1250067290420391938
740,NEUTRAL,1257141603401007107
741,POSITIVE,1256626814870597633
742,NEGATIVE,1332519397634703360
743,NEGATIVE,1249066457989656576
744,NEGATIVE,1246551367394693121
745,NEUTRAL,1342273739556319232
746,POSITIVE,1394660761365098497
747,NEUTRAL,1398280476515766280
748,NEUTRAL,1288486319853895683
749,NEGATIVE,1282143037544706049
750,NEUTRAL,1249899677874409473
751,NEUTRAL,1319401884474613760
752,NEUTRAL,1271052968549376000
753,NEUTRAL,1331615983639945216
754,POSITIVE,1450911423547183118
755,NEGATIVE,1268602523868434436
756,POSITIVE,1359032496571244552
757,NEGATIVE,1268709800071790593
758,POSITIVE,1258265042975371264
759,POSITIVE,1354271929893609472
760,POSITIVE,1245808394981826561
761,POSITIVE,1278070852379119616
762,NEUTRAL,1323820995841544193
763,NEGATIVE,1362206290139901960
764,NEUTRAL,1397044177578377218
765,POSITIVE,1249178026623078402
766,NEUTRAL,1287943219158880256
767,NEUTRAL,1251519861769089036
768,POSITIVE,1257468281058926593
769,NEGATIVE,1321297096683737089
770,NEUTRAL,1275806840933105669
771,NEUTRAL,1266776680690925573
772,NEUTRAL,1253334034194690051
773,NEGATIVE,1280407125500583936
774,NEGATIVE,1248389900971307009
775,NEGATIVE,1247049733786554370
776,NEUTRAL,1275953060636958720
777,NEUTRAL,1278187173980917763
778,NEUTRAL,1278205017489637379
779,NEUTRAL,1368358435255771140
780,NEGATIVE,1250952946260627457
781,NEGATIVE,1260879358752813058
782,NEGATIVE,1249500863867097089
783,NEUTRAL,1377027831734149121
784,NEGATIVE,1346505511882035200
785,NEGATIVE,1340009039271477248
786,NEUTRAL,1257187906667642880
787,NEGATIVE,1345600029625610242
